sku_id,category,name,mrp,discountPercent,availableQuantity,discountedSellingPrice,weightInGms,outOfStock,quantity
493,"Cooking Essentials","Hersheys Chocolate Almond Syrup",200.00,0.00,2,200.00,450,0,450
494,"Cooking Essentials","Satyam Nighties Spices  Chilli Pandi",56.00,7.00,5,52.00,100,0,100
495,"Cooking Essentials","Popular Essentials Popular Essential Pista Salted (With Shell)",190.00,10.00,6,171.00,100,0,100
496,"Cooking Essentials","Godrej Yummiez Chicken Punjabi Tikka ",295.00,9.00,6,266.00,360,0,360
497,"Cooking Essentials","Popular Essentials Rozana Sona Masuri Raw Rice",350.00,10.00,5,312.00,5000,0,5
498,"Cooking Essentials","24 Mantra Mustard Oil (Cold Pressed) ",350.00,10.00,6,312.00,1000,0,1
499,"Cooking Essentials","24 Mantra Organic Black Pepper",170.00,7.00,6,157.00,100,0,100
500,"Cooking Essentials","Popular Essentials Green Moong Whole",90.00,16.00,3,75.00,500,0,500
501,"Cooking Essentials","24 Mantra Organic Masoor Dal - Split",95.00,7.00,6,88.00,500,0,500
502,"Cooking Essentials","Praakritik Organic Natural Rock Salt",60.00,6.00,3,56.00,500,0,500
503,"Cooking Essentials","24 Mantra Sunflower Oil (Cold Pressed) Pet Bottle",390.00,11.00,5,347.00,1000,0,1
504,"Cooking Essentials","Ching's Secret Instant Noodles, Hot Garlic",60.00,0.00,4,60.00,240,0,240
505,"Cooking Essentials","Saffola Everyday Peppy Tomato Masala Oats",195.00,12.00,6,171.00,500,0,500
506,"Cooking Essentials","Dabur 100% Pure Honey - Worlds No.1",430.00,10.00,6,387.00,1000,0,1
507,"Cooking Essentials","Popular Essentials Star Anise",70.00,10.00,5,63.00,25,0,25
508,"Cooking Essentials","Ching's Secret Chicken 65 Masala - Chicken",10.00,0.00,5,10.00,20,0,20
509,"Cooking Essentials","Cadbury Cocoa Powder",223.00,5.00,6,211.00,150,0,150
510,"Cooking Essentials","Praakritik Natural Desi Gir Cow A2 Ghee",1450.00,10.00,6,1305.00,540,0,540
511,"Cooking Essentials","Praakritik Organic Poha",120.00,6.00,5,112.00,500,0,500
512,"Cooking Essentials","Praakritik Organic Natural Wild Forest Honey",160.00,6.00,4,150.00,200,0,200
513,"Cooking Essentials","Popular Essentials Dry Dates (Kharak)",140.00,15.00,6,118.00,250,0,250
514,"Cooking Essentials","Popular Essentials Kashmiri Red Rajma",95.00,6.00,4,89.00,500,0,500
515,"Cooking Essentials","Dabur Hommade - Garlic Paste",50.00,6.00,6,47.00,200,0,200
516,"Cooking Essentials","Dabur 100% Pure Honey",330.00,10.00,1,297.00,400,0,400
517,"Cooking Essentials","Ching's Schezwan Fried Rice(Miracle Masala)",44.00,0.00,5,44.00,60,0,60
518,"Cooking Essentials","Everest Tandoori Chicken Masala",74.00,9.00,3,67.00,100,0,100
519,"Cooking Essentials","Popular Essentials Red Poha",45.00,4.00,6,43.00,500,0,500
520,"Cooking Essentials","Everest Kitchen King Masala",142.00,9.00,6,128.00,200,0,200
521,"Cooking Essentials","Pillsbury Oven Cake Mix - Rich Chocolate",165.00,10.00,5,147.00,285,0,285
522,"Cooking Essentials","Eastern Super Garam Masala",74.00,6.00,2,69.00,200,0,200
523,"Cooking Essentials","Maggi Magic Cubes Extra Chicken",40.00,2.00,6,39.00,48,0,48
524,"Cooking Essentials","Satyam Nighties Spices  Chilli Kashmiri",102.00,6.00,6,95.00,100,0,100
525,"Cooking Essentials","Eastern Cumin Powder",49.00,2.00,6,48.00,100,0,100
